label,name,volume
1,Left-Cerebral-Exterior,15644
2,Left-Cerebral-White-Matter,1500
3,Left-Cerebral-Cortex,8851
4,Left-Lateral-Ventricle,13711
5,Left-Inf-Lat-Vent,12729
6,Left-Cerebellum-Exterior,659
7,Left-Cerebellum-White-Matter,1362
8,Left-Cerebellum-Cortex,1370
9,Left-Thalamus,690
10,Left-Thalamus-Proper*,699
11,Left-Caudate,968
12,Left-Putamen,968
13,Left-Pallidum,992
14,3rd-Ventricle,992
15,4th-Ventricle,2278
16,Brain-Stem,2278
17,Left-Hippocampus,3138
18,Left-Amygdala,3018
19,Left-Insula,3754
20,Left-Operculum,3752
21,Line-1,2515
22,Line-2,2469
23,Line-3,6849
24,CSF,6852
25,Left-Lesion,7500
26,Left-Accumbens-area,7508
27,Left-Substancia-Nigra,3728
28,Left-VentralDC,3714
29,Left-undetermined,3972
30,Left-vessel,3978
31,Left-choroid-plexus,2228
32,Left-F3orb,2231
33,Left-lOg,5611
34,Left-aOg,5587
35,Left-mOg,2342
36,Left-pOg,2751
37,Left-Stellate,1236
38,Left-Porg,1155
39,Left-Aorg,1124
40,Right-Cerebral-Exterior,1125
41,Right-Cerebral-White-Matter,6607
42,Right-Cerebral-Cortex,6605
43,Right-Lateral-Ventricle,507
44,Right-Inf-Lat-Vent,507
45,Right-Cerebellum-Exterior,380
46,Right-Cerebellum-White-Matter,376
47,Right-Cerebellum-Cortex,596
48,Right-Thalamus,600
